listing_id,date
44054,2010/8/25
44054,2010/10/13
44054,2011/8/11
44054,2012/4/12
44054,2012/8/30
44054,2012/9/28
44054,2012/10/4
44054,2012/11/15
44054,2013/3/8
44054,2013/5/6
44054,2013/5/11
44054,2013/5/17
44054,2013/5/20
44054,2013/7/4
44054,2013/10/7
44054,2013/11/5
44054,2013/11/18
44054,2014/3/4
44054,2014/4/6
44054,2014/4/14
44054,2014/9/22
44054,2014/10/5
44054,2014/10/25
44054,2014/12/20
44054,2015/6/30
44054,2015/9/29
44054,2015/10/15
44054,2015/10/20
44054,2015/10/31
44054,2015/11/15
44054,2015/12/25
44054,2015/12/26
44054,2016/1/5
44054,2016/2/9
44054,2016/2/17
44054,2016/2/22
44054,2016/5/2
44054,2016/5/15
44054,2016/7/15
44054,2016/8/2
44054,2016/8/24
44054,2016/9/15
44054,2016/9/22
44054,2016/10/6
44054,2016/10/22
44054,2016/12/21
44054,2017/3/29
44054,2017/4/27
44054,2017/6/8
44054,2017/6/18
44054,2017/7/7
44054,2017/7/7
44054,2017/7/29
44054,2017/9/10
44054,2017/9/18
44054,2017/9/22
44054,2017/10/15
44054,2017/11/3
44054,2017/11/11
44054,2017/11/26
44054,2017/12/13
44054,2017/12/24
44054,2017/12/25
44054,2018/2/27
44054,2018/3/5
44054,2018/3/14
44054,2018/4/2
44054,2018/4/5
44054,2018/5/13
44054,2018/5/19
44054,2018/6/4
44054,2018/6/7
44054,2018/6/20
44054,2018/6/24
44054,2018/6/29
44054,2018/7/12
44054,2018/7/15
44054,2018/7/25
44054,2018/8/2
44054,2018/8/27
44054,2018/9/19
44054,2018/10/14
44054,2018/10/17
44054,2018/10/28
44054,2018/11/4
44054,2018/11/18
44054,2018/12/28
44054,2019/2/16
44054,2019/3/4
44054,2019/4/22
100213,2017/8/27
100213,2017/10/8
128496,2011/6/2
128496,2011/6/5
128496,2011/8/2
128496,2011/8/26
128496,2011/9/4
128496,2011/9/7
128496,2011/9/12
